task,target,feature_set,model,mae,rmse,r2,validation,split,fold,n,model_label,target_id,target_order,target_label,axis_label,unit
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",SVR_RBF,0.0916239267468851,0.1080297011217814,0.9253896131806524,External validation,external_predict,,8.0,SVR-RBF,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",Ridge,0.0807192615565914,0.1093439404871742,0.923563219923918,External validation,external_predict,,8.0,Ridge,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",XGBoost,0.207771144599295,0.2284023319892468,0.6664860454209046,External validation,external_predict,,8.0,XGBoost,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",ExtraTrees,0.0774183478218584,0.0943678948490141,0.943067339861595,External validation,external_predict,,8.0,Extra Trees,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",RandomForest,0.1921882574929473,0.2120060247549941,0.7126512262607599,External validation,external_predict,,8.0,Random forest,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",GradientBoosting,0.2128049419654246,0.2292582708259208,0.663981671325362,External validation,external_predict,,8.0,Gradient boosting,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.03574563734175548,0.044968588148198096,0.9924907103114367,Internal 5-fold CV,internal_xg_stratified_cv,,,GPR-Matern-ARD,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",KernelRidge_RBF,0.14466604442810121,0.22130743875119263,0.8181252633029658,Internal 5-fold CV,internal_xg_stratified_cv,,,KRR-RBF,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",SVR_RBF,0.07664874954526003,0.10045668568517581,0.9625253103568572,Internal 5-fold CV,internal_xg_stratified_cv,,,SVR-RBF,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",Ridge,0.12499666727544857,0.1526086773697958,0.9135153941598296,Internal 5-fold CV,internal_xg_stratified_cv,,,Ridge,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",XGBoost,0.07332809070017972,0.08813909366058549,0.9711518801124491,Internal 5-fold CV,internal_xg_stratified_cv,,,XGBoost,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",ExtraTrees,0.13265143958330322,0.15727828211055422,0.908141813457534,Internal 5-fold CV,internal_xg_stratified_cv,,,Extra Trees,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",RandomForest,0.14898483241831795,0.1741643252113715,0.8873584140517572,Internal 5-fold CV,internal_xg_stratified_cv,,,Random forest,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
viscosity_scalar,log10_eta_50,"yp_pct,xanthan_pct",GradientBoosting,0.0839373222528746,0.09650450649066886,0.9654159745674403,Internal 5-fold CV,internal_xg_stratified_cv,,,Gradient boosting,eta50,1,$\eta_{50}$,log$_{10}$ $\eta_{50}$ (mPa s),log10 mPa s
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.0833281027067828,0.125698330513306,0.8713983132585449,External validation,external_predict,,8.0,GPR-Matern-ARD,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",KernelRidge_RBF,0.0745565088056561,0.1278719717388998,0.8669121621661765,External validation,external_predict,,8.0,KRR-RBF,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",SVR_RBF,0.085313368926757,0.1207046804555951,0.8814133318773172,External validation,external_predict,,8.0,SVR-RBF,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",Ridge,0.1306913676842689,0.170033605569309,0.7646809025464453,External validation,external_predict,,8.0,Ridge,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",XGBoost,0.1891384747822171,0.2575715198567692,0.4600129720080096,External validation,external_predict,,8.0,XGBoost,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",ExtraTrees,0.0895294317543785,0.1206370483296857,0.8815461854090643,External validation,external_predict,,8.0,Extra Trees,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",RandomForest,0.1631702870406615,0.2575873041114768,0.4599467880296599,External validation,external_predict,,8.0,Random forest,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",GradientBoosting,0.1631642213875966,0.2387157618867527,0.5361796100530551,External validation,external_predict,,8.0,Gradient boosting,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",GPR_Matern_ARD,0.07353812770383521,0.09777320932918158,0.9683242127022742,Internal 5-fold CV,internal_xg_stratified_cv,,,GPR-Matern-ARD,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",KernelRidge_RBF,0.14371950249476478,0.2048798544112016,0.8609131119935162,Internal 5-fold CV,internal_xg_stratified_cv,,,KRR-RBF,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",SVR_RBF,0.07756255932347854,0.11750420225931373,0.9542496444832697,Internal 5-fold CV,internal_xg_stratified_cv,,,SVR-RBF,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",Ridge,0.22680522732833186,0.31298452767993973,0.6754112868817674,Internal 5-fold CV,internal_xg_stratified_cv,,,Ridge,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",XGBoost,0.16789859141072933,0.227029034097183,0.829214703007015,Internal 5-fold CV,internal_xg_stratified_cv,,,XGBoost,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
strain_from_formulation,log10_break_stress_Pa,"yp_pct,xanthan_pct",ExtraTrees,0.12476067422380378,0.17774752427679255,0.8953125075630409,Internal 5-fold CV,internal_xg_stratified_cv,,,Extra Trees,break_stress,2,Breaking stress,log$_{10}$ $\sigma_\mathrm{break}$ (Pa),log10 Pa
